Player,Pos,Team,Age_At_Signing,Start,End,Yrs,Value,AAV,2-Year_Cash,3-Year_Cash
Sue Bird,G,SEA,35,2016,2020,5,673000,134600,225000,340500
Candace Parker,F,LA,29,2016,2020,5,577500,115500,225000,340500
Courtney Vandersloot,G,CHI,25,2015,2019,5,557500,111500,216000,327000
Brittney Griner,C,PHX,26,2017,2020,4,554000,138500,224000,339000
Diana Taurasi,G,PHX,34,2017,2020,4,466000,116500,229000,346500
Chiney Ogwumike,F,CON,24,2017,2020,4,466000,116500,229000,346500
Tiffany Hayes,G,ATL,28,2018,2021,4,465560,116390,228260,345780
Elizabeth Williams,C,ATL,24,2018,2021,4,464000,116000,228000,345000
Skylar Diggins-Smith,G,DAL,25,2016,2020,4,458000,114500,225000,340500
Nneka Ogwumike,F,LA,26,2017,2020,4,456000,114000,224000,339000
Jantel Lavender,F,LA,28,2017,2020,4,456000,114000,224000,339000
Tayler Hill,G,WAS,26,2017,2020,4,456000,114000,224000,339000
Tina Charles,C,NY,29,2018,2020,3,448000,149333,233000,408000
Leilani Mitchell,G,PHX,31,2017,2020,4,383131,95783,187720,284477
Jewell Loyd,G,SEA,25,2019,2021,3,358500,119500,237000,358500
Briann January,G,PHX,31,2019,2021,3,358500,119500,237000,358500
Candice Dupree,F,IND,33,2018,2020,3,352500,117500,233000,352500
Odyssey Sims,G,MIN,26,2019,2021,3,351000,117000,232000,351000
Dearica Hamby,F,LV,25,2019,2022,3,351000,117000,232000,384300
Sylvia Fowles,C,MIN,33,2019,2021,3,346881,115627,228987,346881
Elena Delle Donne,F,WAS,27,2017,2019,3,345000,115000,228000,345000
Natasha Howard,F,SEA,26,2018,2020,3,345000,115000,228000,345000
Alyssa Thomas,F,CON,25,2018,2020,3,345000,115000,228000,345000
Jessica Breland,F,ATL,29,2018,2020,3,345000,115000,,
Emma Meesseman,F,WAS,22,2016,2019,4,342500,85625,225000,225000
Kristi Toliver,G,WAS,29,2017,2019,3,339000,113000,224000,339000
Alex Bentley,G,ATL,26,2017,2019,3,339000,113000,,
Sylvia Fowles,C,MIN,31,2017,2019,3,333540,111180,220180,333540
Renee Montgomery,G,ATL,31,2018,2020,3,321000,107000,212000,321200
Crystal Langhorne,F,SEA,32,2019,2021,3,315000,105000,210000,315000
Karima Christmas-Kelly,F,MIN,29,2019,2021,3,312000,104000,206000,312000
Theresa Plaisance,F,DAL,25,2018,2020,3,310000,103333,206000,310000
Kayla Thornton,F,DAL,26,2019,2021,3,262900,87633,173700,262900
Alysha Clark,F,SEA,30,2018,2020,3,252400,84133,166600,252400
Katie Lou Samuelson,G,CHI,21,2019,2023,4,237754,59439,110537,170606
Asia Durr,G,NY,21,2019,2022,4,237363,59341,110537,110537
Jasmine Thomas,G,CON,29,2019,2020,2,237000,118500,237000,237000
Jackie Young,G,LV,21,2019,2022,4,236283,59071,110537,170606
Angel McCoughtry,F,ATL,31,2018,2019,2,233000,116500,233000,233000
A'ja Wilson,C,LV,21,2018,2021,4,232178,58045,106180,163180
Kelsey Mitchell,G,IND,22,2018,2021,4,232178,58045,106180,165158
Diamond DeShields,G,CHI,22,2018,2021,4,232178,58045,106180,165158
Alaina Coates,C,CHI,22,2018,2021,4,232178,58045,106180,165158
LaToya Sanders,F,WAS,32,2019,2020,2,232000,116000,232000,232000
Natasha Cloud,G,WAS,26,2019,2020,2,232000,116000,232000,232000
Kayla McBride,G,LV,26,2019,2020,2,232000,116000,232000,232000
Liz Cambage,C,DAL,26,2018,2019,2,228000,114000,228000,228000
Stefanie Dolson,C,CHI,25,2018,2019,2,228000,114000,228000,228000
Kelsey Bone,C,PHX,26,2018,2019,2,224000,112000,224000,224000
Riquna Williams,G,LA,28,2019,2020,2,222000,111000,222000,222000
Courtney Paris,C,SEA,30,2018,2019,2,222000,111000,222000,222000
Napheesa Collier,F,MIN,22,2019,2022,4,220235,55059,106539,165249
Arike Ogunbowale,G,DAL,21,2019,2022,4,220235,55059,106539,164709
Cheyenne Parker,F,CHI,26,2019,2020,2,220000,110000,220000,220000
Alanna Smith,F,PHX,22,2019,2022,4,219235,54809,106539,165249
Kalani Brown,C,LA,21,2019,2022,4,219235,54809,106539,165249
Amanda Zahui B,C,NY,25,2019,2020,2,218000,109000,218000,218000
Danielle Robinson,G,MIN,28,2018,2019,2,218000,109000,218000,218000
Ariel Atkins,G,WAS,21,2018,2021,4,214836,53709,98249,155249
Jordin Canada,G,SEA,22,2018,2021,4,214836,53709,98249,155249
AzurÃ¡ Stevens,F,DAL,21,2018,2021,4,214836,53709,98249,155249
Victoria Vivians,G,IND,23,2018,2021,4,213836,53459,98249,155249
Natalie Achonwa,C,IND,26,2019,2020,2,212000,106000,212000,212000
Shatori Walker-Kimbrough,G,WAS,21,2017,2020,4,210623,52656,96193,149756
Tianna Hawkins,F,WAS,26,2018,2020,3,210100,70033,138700,210100
Damiris Dantas,F,MIN,26,2019,2022,2,210000,105000,210000,336000
Shenise Johnson,G,IND,28,2019,2020,2,210000,105000,210000,210000
Shekinna Stricklen,F,CON,27,2018,2019,2,210000,105000,210000,210000
Kaleena Mosqueda-Lewis,F,SEA,24,2018,2020,3,204697,68232,133297,204697
Bria Hartley,G,NY,25,2018,2019,2,202000,101000,202000,202000
Camille Little,F,PHX,32,2018,2019,2,201000,100500,201000,201000
Kiara Leslie,G,WAS,23,2019,2022,4,197503,49376,101207,159917
Brianna Turner,F,PHX,22,2019,2022,4,197503,49376,101207,159917
Tamera Young,F,LV,31,2018,2019,2,197100,98550,197100,197100
Kristine Anigwe,C,CON,21,2019,2022,4,196503,49126,101207,159307
Lexie Brown,G,MIN,23,2018,2021,4,191720,47930,87677,144677
Maria Vadeeva,F,LA,19,2018,2021,4,191720,47930,87677,144677
Marie GÃ¼lich,C,PHX,23,2018,2021,4,191720,47930,87677,144677
Chloe Jackson,G,CHI,22,2019,2022,4,190522,47631,85992,133757
Anriel Howard,F,SEA,27,2019,2022,4,189522,47381,85992,133757
Sophie Cunningham,G,PHX,22,2019,2022,4,189522,47381,99570,158280
Xu Han,C,NY,19,2019,2022,4,189522,47381,42570,42570
Jessica Shepard,F,MIN,22,2019,2022,4,189522,47381,99570,158280
Cierra Dillard,G,MIN,22,2019,2022,4,189522,47381,85992,133757
Marina Mabrey,G,LA,22,2019,2022,4,189522,47381,99570,157740
Megan Gustafson,F,DAL,22,2019,2022,4,189522,47381,85992,133757
Natisha Hiedeman,G,CON,21,2019,2022,4,189522,47381,85992,133757
Ezi Magbegor,C,SEA,19,2019,2022,4,189042,47261,101207,159377
Sydney Wiese,G,LA,21,2017,2020,4,188017,47004,85904,133702
Alexis Jones,G,MIN,22,2017,2020,4,187015,46754,84902,132700
Kayla Alexander,C,IND,26,2018,2019,2,185400,92700,185400,185400
Myisha Hines-Allen,F,WAS,21,2018,2021,4,184614,46154,84428,141428
JiSu Park,C,MIN,19,2018,2021,4,184614,46154,84428,141428
Jaime Nared,G,LV,22,2018,2021,4,184614,46154,84428,131324
Stephanie Mavunga,F,IND,22,2018,2021,4,184614,46154,84428,141428
Monique Billings,F,ATL,21,2018,2021,4,184614,46154,,57000
Maria Conde,F,CHI,21,2019,2022,4,182662,45666,84770,129716
Sam Fuehring,F,WAS,21,2019,2022,4,182662,45666,84770,129716
Macy Miller,G,SEA,23,2019,2022,4,182662,45666,84770,129716
Arica Carter,G,PHX,22,2019,2022,4,182662,45666,84770,129716
Megan Huff,F,NY,22,2019,2022,4,182662,45666,84770,129716
Kenisha Bell,G,MIN,22,2019,2022,4,182662,45666,84770,129716
Kennedy Burke,G,DAL,21,2019,2022,4,182662,45666,98965,157675
Morgan Bertsch,F,DAL,21,2019,2022,4,182662,45666,84770,129716
Regan Magarity,F,CON,22,2019,2022,4,182662,45666,84770,129716
Maite Cazorla,G,ATL,21,2019,2022,4,182477,45619,,
Erica McCall,F,IND,21,2017,2020,4,180175,45044,81843,127871
Teaira McCowan,C,IND,22,2019,2022,4,168754,42189,110537,171146
Carolyn Swords,C,LV,28,2018,2019,2,168300,84150,168300,168300
Sami Whitcomb,G,SEA,29,2018,2020,3,168000,56000,100000,168000
Brittany Boyd,G,NY,25,2019,2020,2,161600,80800,161600,161600
Rebecca Allen,G,NY,26,2019,2020,2,161600,80800,161600,161600
Kiah Stokes,C,NY,24,2018,2021,2,143265,71633,143265,234265
Paris Kea,G,IND,22,2019,2022,4,129716,32429,98965,157135
DeWanna Bonner,F,PHX,31,2019,2019,1,127500,127500,127500,127500
Moriah Jefferson,G,LV,23,2018,2019,2,121331,60666,121331,121331
Glory Johnson,F,DAL,28,2019,2019,1,117500,117500,117500,117500
Allie Quigley,G,CHI,32,2019,2019,1,117500,117500,117500,117500
Maya Moore,F,MIN,29,2019,2020,2,117000,58500,117000,117000
Allie Quigley,G,CHI,31,2018,2018,1,115500,115500,115500,115500
Chelsea Gray,G,LA,26,2019,2019,1,115000,115000,115000,115000
Seimone Augustus,G,MIN,34,2019,2019,1,111000,111000,111000,111000
Rebekkah Brunson,F,MIN,36,2018,2018,1,110900,110900,110900,110900
Alana Beard,G,LA,36,2019,2019,1,108000,108000,108000,108000
Monique Currie,F,WAS,34,2018,2018,1,105000,105000,105000,105000
Sugar Rodgers,G,LV,29,2019,2019,1,102000,102000,102000,102000
Imani McGee-Stafford,C,ATL,23,2018,2019,2,100186,50093,100186,100186
Yvonne Turner,G,PHX,31,2019,2020,2,98965,49483,109965,109965
Essence Carson,G,PHX,32,2019,2019,1,85000,85000,85000,85000
Sancho Lyttle,F,PHX,35,2019,2019,1,80000,80000,80000,80000
Erlana Larkins,F,MIN,32,2019,2019,1,80000,80000,80000,80000
Betnijah Laney,G,IND,25,2019,2019,1,72500,72500,72500,72500
Noelle Quinn,G,SEA,32,2018,2018,1,70000,70000,70000,70000
Shenise Johnson,G,IND,27,2018,2018,1,70000,70000,70000,70000
Shavonte Zellous,G,SEA,32,2019,2019,1,65000,65000,65000,65000
Astou Ndour,C,CHI,24,2019,2019,1,65000,65000,65000,65000
Jamierra Faulkner,G,CHI,26,2019,2019,1,62000,62000,62000,62000
Avery Warley-Talbert,C,NY,28,2019,2019,1,56375,56375,56375,56375
Kelly Faris,G,NY,27,2019,2019,1,56375,56375,56375,56375
Tiffany Bias,G,NY,26,2019,2019,1,56375,56375,56375,56375
Kelsey Griffin,F,MIN,31,2019,2019,1,56375,56375,56375,56375
Ashley Walker,F,LA,31,2019,2019,1,56375,56375,56375,56375
Tierra Ruffin-Pratt,G,LA,27,2019,2019,1,56375,56375,56375,56375
Cayla George,C,DAL,29,2019,2019,1,56375,56375,56375,56375
Brianna Kiesel,G,CON,25,2019,2019,1,56375,56375,,
Lynetta Kizer,F,ATL,28,2019,2019,1,56375,56375,56375,56375
Rebecca Allen,G,NY,25,2018,2018,1,56100,56100,56100,56100
Astou Ndour,C,CHI,23,2018,2018,1,56100,56100,56100,56100
Alaina Coates,C,ATL,23,2019,2019,1,53616,53616,25815,25815
Natisha Hiedeman,G,CON,21,2019,2019,1,42570,42570,27598,27598
Victoria Macaulay,C,CHI,28,2019,2019,1,41965,41965,41965,41965
Shey Peddy,G,WAS,30,2019,2019,1,41965,41965,2723,2723
Maci Morris,G,WAS,22,2019,2019,1,41965,41965,41965,41965
Kim Mestdagh,G,WAS,28,2019,2019,1,41965,41965,41965,41965
G'mrice Davis,F,WAS,22,2019,2019,1,41965,41965,41965,41965
AJ Alix,G,WAS,23,2019,2019,1,41965,41965,41965,41965
Brooke Salas,G,SEA,21,2019,2019,1,41965,41965,41965,41965
Zykera Rice,F,SEA,22,2019,2019,1,41965,41965,41965,41965
Teana Muldrow,F,SEA,23,2019,2019,1,41965,41965,41965,41965
Presley Hudson,G,SEA,21,2019,2019,1,41965,41965,41965,41965
Recee Caldwell,G,SEA,22,2019,2019,1,41965,41965,41965,41965
Alexis Peterson,G,PHX,23,2019,2019,1,41965,41965,41965,41965
Emese Hof,C,PHX,22,2019,2019,1,41965,41965,41965,41965
Nayo Raincock-Ekunwe,F,NY,27,2019,2019,1,41965,41965,41965,41965
Kolby Morgan,G,NY,22,2019,2019,1,41965,41965,41965,41965
Marine Johannes,G,NY,23,2019,2019,1,41965,41965,41965,41965
Reshanda Gray,F,NY,25,2019,2019,1,41965,41965,41965,41965
Bianca Cuevas-Moore,G,NY,23,2019,2019,1,41965,41965,41965,41965
Talia Caldwell,C,NY,27,2019,2019,1,41965,41965,41965,41965
Shao Ting,F,MIN,29,2019,2019,1,41965,41965,41965,41965
Taylor Emery,G,MIN,21,2019,2019,1,41965,41965,41965,41965
Jillian Alleyne,F,MIN,24,2019,2019,1,41965,41965,8169,8169
Karlie Samuelson,G,LA,23,2019,2019,1,41965,41965,41965,41965
Rachel Hollivay,C,LA,25,2019,2019,1,41965,41965,41965,41965
Gabby Green,G,LA,23,2019,2019,1,41965,41965,41965,41965
Loryn Goodwin,G,LA,24,2019,2019,1,41965,41965,41965,41965
Dominique Wilson,G,LV,24,2019,2019,1,41965,41965,41965,41965
Alex Harden,G,LV,25,2019,2019,1,41965,41965,41965,41965
Ruth Hamblin,C,LV,24,2019,2019,1,41965,41965,41965,41965
Saniya Chong,G,LV,24,2019,2019,1,41965,41965,41965,41965
Crystal Bradford,G,IND,25,2019,2019,1,41965,41965,41965,41965
Nicole Seekamp,G,DAL,26,2019,2019,1,41965,41965,41965,41965
Brooke McCarty,G,DAL,23,2019,2019,1,41965,41965,41965,41965
Ariel Edwards,F,CON,26,2019,2019,1,41965,41965,41965,41965
Emma Cannon,F,CON,29,2019,2019,1,41965,41965,41965,41965
Ashton Millender,G,CHI,,2019,2019,1,41965,41965,41965,41965
Victoria Macaulay,C,CHI,28,2019,2019,1,41965,41965,41965,41965
Linnae Harper,G,CHI,23,2019,2019,1,41965,41965,41965,41965
Allazia Blockton,G,CHI,21,2019,2019,1,41965,41965,41965,41965
Hind Ben Abdelkader,G,CHI,23,2019,2019,1,41965,41965,41965,41965
Evelyn Akhator,F,CHI,23,2019,2019,1,41965,41965,41965,41965
Sun Mengran,C,ATL,26,2019,2019,1,41965,41965,41965,41965
Haley Peters,F,ATL,26,2019,2019,1,41965,41965,41965,41965
Meme Jackson,G,ATL,22,2019,2019,1,41965,41965,41965,41965
Jaime Nared,G,LV,23,2019,2019,1,41796,41796,5446,5446
Blake Dietrick,G,SEA,25,2019,2019,1,41695,41695,41695,41695
Blake Dietrick,G,ATL,25,2019,2019,1,41695,41695,41695,41695
Kayla Thornton,F,DAL,25,2018,2018,1,41248,41248,41248,41248
Cecilia Zandalasini,F,MIN,21,2018,2018,1,41202,41202,41202,41202
Lindsay Allen,G,LV,22,2018,2018,1,41202,41202,41202,41202
Leticia Romero,G,DAL,22,2018,2018,1,41202,41202,41202,41202
Linnae Harper,G,CHI,22,2018,2018,1,41202,41202,41202,41202
Megan Gustafson,F,DAL,22,2019,2019,1,34194,34194,34194,34194
Kayla Alexander,C,CHI,27,2019,2019,1,,,6069,6069
Krystal Thomas,C,WAS,27,2017,2018,2,,,56942,56942
Tanisha Wright,G,MIN,34,2018,2019,2,,,94860,94860
Allisha Gray,G,DAL,21,2017,2020,4,,,52623,110509
Kaela Davis,F,DAL,21,2017,2020,4,,,43452,91250
Courtney Williams,G,CON,21,2016,2019,4,,,,52552
Morgan Tuck,F,CON,21,2016,2019,4,,,,56793
Brionna Jones,C,CON,21,2017,2020,4,,,48693,102256
Bria Holmes,G,CON,21,2016,2019,4,,,,46896
Layshia Clarendon,G,ATL,25,2017,2019,3,,,91700,185100
Rachel Banham,G,CON,22,2016,2019,4,,,,56793
Kahleah Copper,G,WAS,21,2016,2019,4,,,,52552
Nia Coffey,F,LV,21,2017,2020,4,,,,
Skylar Diggins-Smith,G,DAL,,2020,2023,4,899480,224870,436450,664350
Elena Delle Donne,F,WAS,,2020,2023,4,899480,224870,436450,664350
DeWanna Bonner,F,PHX,,2020,2023,4,899480,224870,436450,664350
Natasha Howard,F,NY,,2021,2024,4,898700,224675,436450,664350
Alyssa Thomas,F,CON,,2021,2024,4,836000,209000,406000,618000
Arike Ogunbowale,G,DAL,,2023,2025,3,725952,241984,476920,725952
Brittney Griner,C,PHX,,2020,2022,3,664544,221515,436450,664350
Marina Mabrey,G,CHI,,2023,2025,3,620000,206667,333776,543776
Kelsey Mitchell,G,IND,,2022,2024,3,618000,206000,406000,618000
Betnijah Laney,G,NY,,2021,2023,3,588801,196267,405817,607801
Kayla McBride,G,MIN,,2021,2023,3,588801,196267,386817,588801
Teaira McCowan,C,DAL,,2023,2025,3,587100,195700,385700,587100
Kristi Toliver,G,LA,,2020,2022,3,571817,190606,375550,571650
Astou Ndour,C,CHI,,2020,2022,3,571816,190605,375550,571650
Cheyenne Parker,F,ATL,,2021,2024,3,571650,190550,375550,591650
Bria Hartley,G,PHX,,2020,2022,3,571550,190517,375550,571550
Natasha Cloud,G,WAS,,2021,2023,3,565000,188333,375000,565000
Jasmine Thomas,G,CON,,2021,2023,3,565000,188333,375000,565000
Napheesa Collier,F,MIN,,2022,2025,3,552516,184172,274295,482514
Myisha Hines-Allen,F,WAS,,2022,2024,3,525300,175100,345100,398620
Moriah Jefferson,G,DAL,,2020,2022,3,525200,175067,345100,525300
Jantel Lavender,F,IND,,2021,2023,3,525000,175000,350000,525000
Jackie Young,G,LV,,2022,2025,2,504900,252450,237141,407091
Allisha Gray,G,DAL,,2021,2025,3,494400,164800,324800,519400
Jewell Loyd,G,SEA,,2024,2025,2,491016,245508,491016,491016
Kahleah Copper,G,CHI,,2024,2025,2,490118,245059,490118,490118
Mercedes Russell,C,SEA,,2022,2024,3,480000,160000,320000,480000
Natalie Achonwa,C,MIN,,2021,2023,3,479600,159867,324500,479600
Diana Taurasi,G,PHX,,2023,2024,2,469872,234936,469872,469872
Danielle Robinson,G,IND,,2021,2023,3,465000,155000,310000,465000
Jewell Loyd,G,SEA,,2022,2023,2,463030,231515,463030,463030
Diana Taurasi,G,PHX,,2021,2022,2,449544,224772,449544,449544
Erica Wheeler,G,IND,,2023,2024,2,444308,222154,444308,444308
Moriah Jefferson,G,PHX,,2023,2025,3,424500,141500,227164,372664
Skylar Diggins-Smith,G,SEA,,2024,2025,2,422685,211343,422685,422685
Kayla McBride,G,MIN,,2024,2025,2,413000,206500,413000,413000
Sabrina Ionescu,G,NY,,2023,2025,2,410060,205030,288701,510761
Courtney Vandersloot,G,CHI,,2020,2021,2,406000,203000,406000,406000
Kahleah Copper,G,CHI,,2022,2023,2,405000,202500,405000,405000
Natasha Cloud,G,PHX,,2024,2025,2,400000,200000,400000,400000
Ariel Atkins,G,WAS,,2024,2025,2,400000,200000,400000,400000
A'ja Wilson,C,LV,,2024,2025,2,400000,200000,400000,400000
A'ja Wilson,C,LV,,2022,2023,2,398422,199211,398422,398422
Allie Quigley,G,CHI,,2020,2021,2,394000,197000,394000,394000
Chelsea Gray,G,LV,,2022,2025,2,392534,196267,402534,598801
Nneka Ogwumike,F,LA,,2021,2022,2,386817,193409,386817,386817
Chelsea Gray,G,LV,,2021,2022,2,386817,193409,386817,386817
Kalani Brown,C,DAL,,2024,2026,3,386250,128750,253750,386250
AzurÃ¡ Stevens,F,LA,,2023,2024,2,385000,192500,405000,405000
Candace Parker,F,CHI,,2021,2022,2,385000,192500,385000,385000
Courtney Vandersloot,G,NY,,2023,2024,2,383670,191835,388670,388670
Courtney Williams,G,CON,,2020,2021,2,375500,187750,375500,375500
Angel McCoughtry,F,LV,,2020,2021,2,375500,187750,375500,375500
Jordin Canada,G,LA,,2024,2025,2,375000,187500,375000,375000
Alysha Clark,F,WAS,,2021,2022,2,366000,183000,183000,183000
Betnijah Laney,G,NY,,2024,2025,2,365400,182700,180000,180000
Erica Wheeler,G,LA,,2021,2022,2,365400,182700,365400,365400
Katie Lou Samuelson,G,IND,,2024,2025,2,355250,177625,355250,355250
Stefanie Dolson,C,CHI,,2020,2021,2,355250,177625,355250,355250
Courtney Williams,G,MIN,,2024,2025,2,355000,177500,355000,355000
Shekinna Stricklen,F,ATL,,2020,2021,2,345100,172550,345100,345100
Stefanie Dolson,C,WAS,,2024,2025,2,345000,172500,355000,355000
Ariel Atkins,G,WAS,,2021,2023,2,345000,172500,240040,415040
Caitlin Clark,G,IND,,2024,2027,4,338056,84514,154601,240474
Cameron Brink,F,LA,,2024,2027,4,338056,84514,154601,240474
Kamilla Cardoso,C,CHI,,2024,2027,4,338056,84514,154601,240474
Rickea Jackson,F,LA,,2024,2027,4,338056,84514,154601,240474
Stephanie Soares,C,DAL,,2024,2027,4,338056,84514,154601,240474
Kahleah Copper,G,CHI,,2020,2021,2,330000,165000,330000,330000
Alissa Pili,F,MIN,,2024,2027,4,324383,81096,148348,230747
Aaliyah Edwards,F,WAS,,2024,2027,4,324383,81096,148348,230747
Jacy Sheldon,G,DAL,,2024,2027,4,324383,81096,148348,230747
Angel Reese,F,CHI,,2024,2027,4,324383,81096,148348,230747
Rebecca Allen,G,PHX,,2024,2025,2,320000,160000,320000,320000
Stefanie Dolson,C,NY,,2022,2023,2,320000,160000,320000,320000
Ezi Magbegor,C,SEA,,2023,2024,2,314650,157325,314650,314650
Marquesha Davis,G,NY,,2024,2027,4,310718,77680,142097,221026
Kayla Thornton,F,DAL,,2021,2023,3,305956,101985,196240,305956
Sophie Cunningham,G,PHX,,2023,2024,2,304500,152250,339500,339500
Diamond DeShields,G,CHI,,2022,2023,2,304500,152250,304500,304500
Sami Whitcomb,G,NY,,2021,2022,2,300700,150350,300700,300700
Nia Coffey,F,ATL,,2024,2025,2,300000,150000,300000,300000
Alanna Smith,F,MIN,,2024,2025,2,300000,150000,300000,300000
Brianna Turner,F,PHX,,2023,2024,2,300000,150000,300000,300000
Dyaisha Fair,G,LV,,2024,2027,4,297045,74261,135844,211300
Celeste Taylor,G,IND,,2024,2027,4,297045,74261,135844,211300
Nika MÃ¼hl,G,SEA,,2024,2027,4,297045,74261,135844,211300
Kate Martin,G,LV,,2024,2027,4,297045,74261,135844,211300
Brynna Maxwell,G,CHI,,2024,2027,4,297045,74261,135844,211300
Kaylynne Truong,G,WAS,,2024,2027,4,297045,74261,135844,211300
Esmery Martinez,F,NY,,2024,2027,4,297045,74261,135844,211300
Jessika Carter,C,NY,,2024,2027,4,297045,74261,135844,211300
Taiyanna Jackson,C,CON,,2024,2027,4,297045,74261,135844,211300
Helena Pueyo,G,CON,,2024,2027,4,297045,74261,135844,211300
Leonie Fiebich,F,NY,,2024,2027,4,297045,74261,135844,211300
Riquna Williams,G,LV,,2022,2023,2,294350,147175,294350,294350
Alexis Morris,G,CON,,2023,2026,3,288393,96131,131887,205145
Leigha Brown,G,ATL,,2023,2026,3,288383,96128,131887,205145
Sami Whitcomb,G,SEA,,2023,2024,2,287500,143750,282500,282500
Tianna Hawkins,F,ATL,,2021,2022,2,284200,142100,284200,284200
Rebecca Allen,G,NY,,2022,2023,2,277850,138925,277850,277850
Leilani Correa,G,IND,,2024,2027,4,276830,69208,129592,198303
Kiki Jefferson,G,MIN,,2024,2027,4,276830,69208,129592,198303
McKenzie Forbes,F,LA,,2024,2027,4,276830,69208,129592,198303
Ashley Owusu,G,DAL,,2024,2027,4,276830,69208,129592,198303
Charisma Osborne,G,PHX,,2024,2027,4,276830,69208,129592,198303
Jaz Shelley,G,PHX,,2024,2027,4,276830,69208,129592,198303
Okako Adika,G,NY,,2024,2027,4,276830,69208,129592,198303
Amanda Zahui B,C,LA,,2021,2022,2,274000,137000,135000,135000
Victoria Vivians,G,IND,,2023,2024,2,272000,136000,272000,272000
Elizabeth Williams,C,CHI,,2023,2024,2,270000,135000,300000,300000
Jade Melbourne,G,SEA,,2023,2025,4,268767,67192,126439,193149
Leilani Mitchell,G,WAS,,2020,2021,2,250500,125250,250500,250500
Rae Burrell,F,LA,,2024,2025,2,250000,125000,262500,262500
Bridget Carleton,G,MIN,,2024,2025,2,250000,125000,250000,250000
Emma Meesseman,F,NY,,2025,2025,1,249244,249244,75694,75694
Kelsey Mitchell,G,IND,,2025,2025,1,249244,249244,269244,269244
Kiki Iriafen,F,WAS,,2025,2028,3,247688,82563,159239,247688
Sonia Citron,G,WAS,,2025,2028,3,247688,82563,159239,247688
Paige Bueckers,G,DAL,,2025,2028,3,247688,82563,159239,247688
Dominique Malonga,C,SEA,,2025,2028,3,247688,82563,159239,247688
Jessica Shepard,F,MIN,,2023,2025,2,243600,121800,120000,243600
Natisha Hiedeman,G,CON,,2023,2024,2,240000,120000,240000,240000
Brionna Jones,C,CON,,2021,2022,2,240000,120000,240000,240000
Layshia Clarendon,G,NY,,2020,2021,2,240000,120000,240000,240000
Monique Billings,F,LA,,2024,2025,2,238000,119000,238000,238000
Aneesah Morrow,F,CON,,2025,2028,3,237670,79223,152799,237670
Georgia Amoore,G,WAS,,2025,2028,3,237670,79223,152799,237670
Saniya Rivers,G,CON,,2025,2028,3,237670,79223,152799,237670
Maddy Siegrist,F,DAL,,2023,2026,3,233468,77823,150097,233468
Diamond Miller,G,MIN,,2023,2026,3,233468,77823,150097,233468
Aliyah Boston,F,IND,,2023,2026,3,233468,77823,150097,233468
Karlie Samuelson,G,WAS,,2024,2025,2,233450,116725,243450,243450
Sydney Wiese,G,LA,,2020,2022,3,230400,76800,148000,230400
Epiphanny Prince,G,SEA,,2021,2022,2,230000,115000,230000,230000
Morgan Tuck,F,CON,,2020,2021,2,230000,115000,230000,230000
Chiney Ogwumike,F,LA,,2021,2022,2,229390,114695,229390,229390
Hailey Van Lith,G,CHI,,2025,2028,3,227657,75886,146360,227657
Aziaha James,G,DAL,,2025,2028,3,227657,75886,146360,227657
Sarah Ashlee Barker,G,LA,,2025,2028,3,227657,75886,146360,227657
